,Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Total
0,2016/4/1 00:00,2016/4/1 00:00,78.1,66,0.01,1704,3126,11497
1,2016/4/2 00:00,2016/4/2 00:00,55,48.9,0.15,827,1646,6922
2,2016/4/3 00:00,2016/4/3 00:00,39.9,34,0.09,526,1232,4759
3,2016/4/4 00:00,2016/4/4 00:00,44.1,33.1,0.47 (S),521,1067,4335
4,2016/4/5 00:00,2016/4/5 00:00,42.1,26.1,0,1416,2617,9471
5,2016/4/6 00:00,2016/4/6 00:00,45,30,0,1885,3329,11919
6,2016/4/7 00:00,2016/4/7 00:00,57,53.1,0.09,1276,2581,9596
7,2016/4/8 00:00,2016/4/8 00:00,46.9,44.1,0.01,1982,3455,12744
8,2016/4/9 00:00,2016/4/9 00:00,43,37.9,0.09,504,997,4510
9,2016/4/10 00:00,2016/4/10 00:00,48.9,30.9,0,1447,2387,9126
10,2016/4/11 00:00,2016/4/11 00:00,62.1,46,0.01,2005,3791,13312
11,2016/4/12 00:00,2016/4/12 00:00,57,45,0.2,1045,2178,8067
12,2016/4/13 00:00,2016/4/13 00:00,57,39.9,0,2840,5395,18422
13,2016/4/14 00:00,2016/4/14 00:00,62.1,44.6,0,2861,5309,18315
14,2016/4/15 00:00,2016/4/15 00:00,64,44.1,0,2770,5072,17570
15,2016/4/16 00:00,2016/4/16 00:00,66,45,0,2384,4316,16375
16,2016/4/17 00:00,2016/4/17 00:00,73.9,46,0,3147,4969,18180
17,2016/4/18 00:00,2016/4/18 00:00,81,52,0,3871,6823,23090
18,2016/4/19 00:00,2016/4/19 00:00,71.1,63,0,3501,6951,23318
19,2016/4/20 00:00,2016/4/20 00:00,68,50,0,3450,6574,22591
20,2016/4/21 00:00,2016/4/21 00:00,71.1,50,0,3436,6452,22127
21,2016/4/22 00:00,2016/4/22 00:00,78.1,63,T,2975,4907,17837
22,2016/4/23 00:00,2016/4/23 00:00,70,61,0.16,2055,3276,13426
23,2016/4/24 00:00,2016/4/24 00:00,68,48,0,2798,4650,16740
24,2016/4/25 00:00,2016/4/25 00:00,66.9,54,0,3463,5978,20850
25,2016/4/26 00:00,2016/4/26 00:00,60.1,46.9,0.24,1997,3520,13005
26,2016/4/27 00:00,2016/4/27 00:00,62.1,46.9,0,3343,5606,19914
27,2016/4/28 00:00,2016/4/28 00:00,57.9,48,0,2486,4152,15631
28,2016/4/29 00:00,2016/4/29 00:00,57,46.9,0.05,2375,4178,14954
29,2016/4/30 00:00,2016/4/30 00:00,64,48,0,3199,4952,17432